Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,SXLmol_mean,SXLmol_var,SXLmol_stdev,SXLmol_max,SXLmol_min,SXLmol_median,SXLmol_muc,SXLmol_notempty,celnumber
1723,4.000000,3706.000000,3274.000000,0.000000,926.500000,818.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,819,927,0,818,926,0,819,927,0,18.500000,     9.666667,     3.109126,    21.000000,    14.000000,    19.000000,    74.000000,4,977
1724,8.000000,7415.000000,6799.000000,0.000000,926.875000,849.875000,0.000000,0.000000,4.875000,4.875000,-1.125000,0.000000,0.000000,0.000000,0.304688,0.304688,-0.070313,0.000000,0.000000,0.609375,0.087891,0.000000,0.609375,0.296464,-0.000000,1.000000,1.000000,0.000000,850,927,0,849,926,0,851,928,0,6.500000,     2.857143,     1.690309,     8.000000,     4.000000,     6.000000,    52.000000,8,967
1725,5.000000,4639.000000,4368.000000,0.000000,927.800000,873.600000,0.000000,0.000000,1.200000,2.800000,0.600000,0.000000,0.000000,0.000000,0.140353,0.327490,0.070176,0.000000,0.000000,0.467843,0.041039,0.000000,0.467843,0.202582,-0.000000,1.000000,1.000000,0.000000,874,928,0,873,927,0,874,929,0,2.000000,     0.000000,     0.000000,     2.000000,     2.000000,     2.000000,    10.000000,5,0
1726,21.000000,19521.000000,19723.000000,0.000000,929.571429,939.190476,0.000000,0.000000,29.238095,43.142857,2.714286,0.000000,0.000000,0.000000,0.504650,0.744646,0.046849,0.000000,0.000000,1.249296,0.373591,0.000000,1.249296,0.611221,-0.000000,3.000000,2.000000,0.000000,939,930,0,937,927,0,941,932,0,1.761905,     1.190476,     1.091089,     4.000000,     0.000000,     2.000000,    37.000000,19,950
1727,22.000000,20466.000000,4633.000000,0.000000,930.272727,210.590909,0.000000,0.000000,27.318182,56.363636,5.454545,0.000000,0.000000,0.000000,0.443154,0.914328,0.088483,0.000000,0.000000,1.357482,0.397359,0.000000,1.357482,0.630364,-0.000000,3.000000,2.000000,0.000000,211,930,0,209,928,0,212,933,0,1.045455,     0.235931,     0.485727,     2.000000,     0.000000,     1.000000,    23.000000,20,0
1728,4.000000,3714.000000,3530.000000,0.000000,928.500000,882.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,883,929,0,882,928,0,883,929,0,37.500000,    83.000000,     9.110434,    46.000000,    25.000000,    37.000000,   150.000000,4,988
1729,2.000000,1858.000000,1629.000000,0.000000,929.000000,814.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,1.000000,0.000000,815,929,0,814,929,0,815,929,0,6.500000,     0.500000,     0.707107,     7.000000,     6.000000,     6.000000,    13.000000,2,0
1730,3.000000,2792.000000,2432.000000,0.000000,930.666667,810.666667,0.000000,0.000000,0.666667,0.666667,-0.333333,0.000000,0.000000,0.000000,0.154080,0.154080,-0.077040,0.000000,0.000000,0.308161,0.017806,0.000000,0.308161,0.133437,-0.000000,1.000000,1.000000,0.000000,811,931,0,810,930,0,811,931,0,15.000000,     4.000000,     2.000000,    17.000000,    13.000000,    15.000000,    45.000000,3,986
1731,4.000000,3722.000000,4358.000000,0.000000,930.500000,1089.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,1090,931,0,1089,930,0,1090,931,0,1.750000,     0.250000,     0.500000,     2.000000,     1.000000,     2.000000,     7.000000,4,965
1732,4.000000,3726.000000,1322.000000,0.000000,931.500000,330.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,331,932,0,330,931,0,331,932,0,1.500000,     0.333333,     0.577350,     2.000000,     1.000000,     1.000000,     6.000000,4,974
1733,9.000000,8397.000000,2169.000000,0.000000,933.000000,241.000000,0.000000,0.000000,6.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.320500,0.320500,0.000000,0.000000,0.000000,0.641000,0.102720,0.000000,0.641000,0.320500,-0.000000,1.000000,1.000000,0.000000,241,933,0,240,932,0,242,934,0,0.888889,     0.111111,     0.333333,     1.000000,     0.000000,     1.000000,     8.000000,8,0
1734,7.000000,6531.000000,6692.000000,0.000000,933.000000,956.000000,0.000000,0.000000,4.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.298719,0.298719,0.149359,0.000000,0.000000,0.597438,0.066925,0.000000,0.597438,0.258698,-0.000000,1.000000,1.000000,0.000000,956,933,0,955,932,0,957,934,0,5.857143,     3.809524,     1.951800,     8.000000,     2.000000,     6.000000,    41.000000,7,982
1735,4.000000,3730.000000,4034.000000,0.000000,932.500000,1008.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,1009,933,0,1008,932,0,1009,933,0,7.000000,     1.333333,     1.154701,     8.000000,     6.000000,     6.000000,    28.000000,4,987
1736,4.000000,3734.000000,3430.000000,0.000000,933.500000,857.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,858,934,0,857,933,0,858,934,0,3.750000,     2.250000,     1.500000,     5.000000,     2.000000,     3.000000,    15.000000,4,0
1737,8.000000,7481.000000,8673.000000,0.000000,935.125000,1084.125000,0.000000,0.000000,4.875000,4.875000,-1.125000,0.000000,0.000000,0.000000,0.304688,0.304688,-0.070313,0.000000,0.000000,0.609375,0.087891,0.000000,0.609375,0.296464,-0.000000,1.000000,1.000000,0.000000,1084,935,0,1083,934,0,1085,936,0,16.500000,    25.428571,     5.042675,    21.000000,     5.000000,    18.000000,   132.000000,8,965
1738,1.000000,935.000000,282.000000,0.000000,935.000000,282.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,282,935,0,282,935,0,282,935,0,2.500000,     0.000000,     0.000000,     3.000000,     3.000000,     3.000000,     3.000000,1,0
1739,5.000000,4678.000000,5081.000000,0.000000,935.600000,1016.200000,0.000000,0.000000,2.800000,1.200000,-0.600000,0.000000,0.000000,0.000000,0.327490,0.140353,-0.070176,0.000000,0.000000,0.467843,0.041039,0.000000,0.467843,0.202582,-0.000000,1.000000,1.000000,0.000000,1016,936,0,1015,935,0,1017,936,0,2.400000,     1.800000,     1.341641,     3.000000,     0.000000,     3.000000,    12.000000,4,987
1740,4.000000,3746.000000,4282.000000,0.000000,936.500000,1070.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,1071,937,0,1070,936,0,1071,937,0,7.750000,     4.250000,     2.061553,    10.000000,     6.000000,     6.000000,    31.000000,4,0
1741,4.000000,3750.000000,3370.000000,0.000000,937.500000,842.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,843,938,0,842,937,0,843,938,0,4.250000,     0.916667,     0.957427,     5.000000,     3.000000,     4.000000,    17.000000,4,0
1742,6.000000,5625.000000,5478.000000,0.000000,937.500000,913.000000,0.000000,0.000000,4.000000,1.500000,0.000000,0.000000,0.000000,0.000000,0.366881,0.137580,0.000000,0.000000,0.000000,0.504461,0.050476,0.000000,0.504461,0.224668,-0.000000,1.000000,1.000000,0.000000,913,938,0,912,937,0,914,938,0,3.000000,     1.600000,     1.264911,     4.000000,     1.000000,     3.000000,    18.000000,6,992
1743,4.000000,3754.000000,3602.000000,0.000000,938.500000,900.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,901,939,0,900,938,0,901,939,0,10.250000,    20.250000,     4.500000,    14.000000,     5.000000,     8.000000,    41.000000,4,992
1744,11.000000,10339.000000,8653.000000,0.000000,939.909091,786.636364,0.000000,0.000000,12.545455,6.909091,1.636364,0.000000,0.000000,0.000000,0.512817,0.282421,0.066889,0.000000,0.000000,0.795239,0.140356,0.000000,0.795239,0.374642,-0.000000,1.000000,2.000000,0.000000,787,940,0,785,939,0,788,941,0,1.272727,     0.418182,     0.646670,     2.000000,     0.000000,     1.000000,    14.000000,10,986
1745,12.000000,11294.000000,9770.000000,0.000000,941.166667,814.166667,0.000000,0.000000,17.666667,7.666667,-0.333333,0.000000,0.000000,0.000000,0.643052,0.279060,-0.012133,0.000000,0.000000,0.922113,0.179303,0.000000,0.922113,0.423442,-0.000000,1.000000,2.000000,0.000000,814,941,0,812,940,0,816,942,0,8.000000,     8.000000,     2.828427,    13.000000,     3.000000,     7.000000,    96.000000,12,0
1746,14.000000,13183.000000,13090.000000,0.000000,941.642857,935.000000,0.000000,0.000000,22.000000,13.214286,-7.000000,0.000000,0.000000,0.000000,0.652007,0.391627,-0.207457,0.000000,0.000000,1.043634,0.212305,0.000000,1.043634,0.460766,-0.000000,2.000000,2.000000,0.000000,935,942,0,933,940,0,937,943,0,2.928571,     1.148352,     1.071612,     4.000000,     1.000000,     3.000000,    41.000000,14,1004
1747,7.000000,6587.000000,7035.000000,0.000000,941.000000,1005.000000,0.000000,0.000000,4.000000,4.000000,-2.000000,0.000000,0.000000,0.000000,0.298719,0.298719,-0.149359,0.000000,0.000000,0.597438,0.066925,0.000000,0.597438,0.258698,-0.000000,1.000000,1.000000,0.000000,1005,941,0,1004,940,0,1006,942,0,8.714286,     7.571429,     2.751623,    12.000000,     5.000000,     9.000000,    61.000000,7,987
1748,4.000000,3770.000000,4074.000000,0.000000,942.500000,1018.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,1019,943,0,1018,942,0,1019,943,0,1.750000,     0.250000,     0.500000,     2.000000,     1.000000,     2.000000,     7.000000,4,987
