Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,nDSX_mean,nDSX_var,nDSX_stdev,nDSX_max,nDSX_min,nDSX_median,nDSX_muc,nDSX_notempty,cDSX_mean,cDSX_var,cDSX_stdev,cDSX_max,cDSX_min,cDSX_median,cDSX_muc,cDSX_notempty
1177,2512.000000,2778120.000000,1127208.000000,3768.000000,1105.939490,448.729299,1.500000,3140.000000,153383.923567,142558.802548,-46829.146497,0.000000,0.000000,0.091954,4.491799,4.174789,-1.371377,0.000000,0.000000,8.758542,17.668566,1.551413,8.758542,4.203399,1.157646,20.000000,18.000000,2.000000,449,1106,2,431,1086,0,465,1120,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5.032643,   196.258591,    14.009232,   151.000000,     0.000000,     0.000000, 12642.000000,652
1178,1004.000000,1100116.000000,358836.000000,1506.000000,1095.733068,357.406375,1.500000,1255.000000,24818.199203,17596.462151,3704.908367,0.000000,0.000000,0.124834,2.468645,1.750305,0.368524,0.000000,0.000000,4.343784,4.711739,0.522438,4.343784,2.170654,0.805400,8.000000,12.000000,2.000000,357,1096,2,347,1088,0,369,1104,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4.871514,   323.699327,    17.991646,   158.000000,     0.000000,     0.000000,  4891.000000,204
1179,1776.000000,1957736.000000,1448192.000000,2664.000000,1102.328829,815.423423,1.500000,2220.000000,116697.585586,49327.963964,15020.720721,0.000000,0.000000,0.103220,5.425893,2.293520,0.698393,0.000000,0.000000,7.822633,12.753438,1.234160,7.822633,3.571196,1.072648,13.000000,18.000000,2.000000,815,1102,2,797,1089,0,830,1114,3,1.148649,   291.750285,    17.080699,   255.000000,     0.000000,     0.000000,  2040.000000,8,2.392455,    60.541667,     7.780853,    96.000000,     0.000000,     0.000000,  4249.000000,592
1180,6060.000000,6752100.000000,6518540.000000,9090.000000,1114.207921,1075.666667,1.500000,7575.000000,778474.666666,770342.019802,142616.000000,0.000000,0.000000,0.068562,7.046081,6.972472,1.290837,0.000000,0.000000,14.087115,48.423487,3.254131,14.087115,6.958699,1.481875,25.000000,24.000000,2.000000,1076,1114,2,1053,1089,0,1100,1138,3,1.683168,   426.445236,    20.650550,   255.000000,     0.000000,     0.000000, 10200.000000,40,0.899340,     6.009671,     2.451463,    34.000000,     0.000000,     0.000000,  5450.000000,1614
1181,1452.000000,1600764.000000,1361540.000000,2178.000000,1102.454545,937.699725,1.500000,1815.000000,45497.079890,53808.000000,-22505.818182,0.000000,0.000000,0.110388,2.767120,3.272588,-1.368798,0.000000,0.000000,6.150096,7.848748,0.792809,6.150096,2.801562,0.925528,14.000000,13.000000,2.000000,938,1102,2,927,1091,0,951,1116,3,1.580579,   400.825343,    20.020623,   255.000000,     0.000000,     0.000000,  2295.000000,9,2.200413,    88.728242,     9.419567,   139.000000,     0.000000,     0.000000,  3195.000000,370
1182,1436.000000,1584856.000000,555700.000000,2154.000000,1103.660167,386.977716,1.500000,1795.000000,40599.286908,50490.161560,11993.125348,0.000000,0.000000,0.110796,2.505989,3.116503,0.740275,0.000000,0.000000,5.733288,7.884865,0.804593,5.733288,2.808000,0.930091,15.000000,13.000000,2.000000,387,1104,2,374,1092,0,397,1119,3,0.083565,    10.027855,     3.166679,   120.000000,     0.000000,     0.000000,   120.000000,1,2.509749,    74.429870,     8.627275,   111.000000,     0.000000,     0.000000,  3604.000000,285
1183,3464.000000,3829896.000000,2016640.000000,5196.000000,1105.628176,582.170901,1.500000,4330.000000,355250.826790,180937.090069,50168.120092,0.000000,0.000000,0.082613,6.777943,3.452156,0.957173,0.000000,0.000000,10.312713,23.327480,1.857343,10.312713,4.829853,1.229223,15.000000,23.000000,2.000000,582,1106,2,559,1092,0,603,1121,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3.696016,    97.896883,     9.894285,    92.000000,     0.000000,     0.000000, 12803.000000,994
1184,2480.000000,2747816.000000,1298936.000000,3720.000000,1107.990323,523.764516,1.500000,3100.000000,139990.477419,123207.767742,24414.348387,0.000000,0.000000,0.092348,4.170258,3.670308,0.727293,0.000000,0.000000,7.932914,15.501234,1.364638,7.932914,3.937161,1.109190,18.000000,17.000000,2.000000,524,1108,2,507,1094,0,539,1126,3,0.120161,    18.756027,     4.330823,   192.000000,     0.000000,     0.000000,   298.000000,3,1.983871,    43.271220,     6.578086,    85.000000,     0.000000,     0.000000,  4920.000000,495
1185,1152.000000,1268776.000000,723532.000000,1728.000000,1101.368056,628.065972,1.500000,1440.000000,45350.986111,17899.944444,1136.027778,0.000000,0.000000,0.119241,3.755347,1.482228,0.094070,0.000000,0.000000,5.356816,6.181966,0.662674,5.356816,2.486356,0.871833,10.000000,14.000000,2.000000,628,1101,2,614,1094,0,641,1111,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5.033854,   192.668705,    13.880515,   114.000000,     0.000000,     0.000000,  5799.000000,391
1186,1376.000000,1520044.000000,1192892.000000,2064.000000,1104.683140,866.927326,1.500000,1720.000000,53092.732558,33657.848837,-12667.686047,0.000000,0.000000,0.112384,3.469050,2.199185,-0.827700,0.000000,0.000000,5.780618,7.581013,0.780393,5.780618,2.753364,0.920671,11.000000,13.000000,2.000000,867,1105,2,854,1094,0,880,1116,3,1.723110,   419.022186,    20.470031,   255.000000,     0.000000,     0.000000,  2371.000000,11,2.386628,    38.141319,     6.175866,    51.000000,     0.000000,     0.000000,  3284.000000,449
1187,2168.000000,2404200.000000,483352.000000,3252.000000,1108.948339,222.948339,1.500000,2710.000000,199354.214022,49914.214022,6410.214022,0.000000,0.000000,0.096581,7.104710,1.778874,0.228451,0.000000,0.000000,8.980165,13.444178,1.215583,8.980165,3.666630,1.067239,13.000000,18.000000,2.000000,223,1109,2,206,1096,0,241,1119,3,0.705720,   179.543262,    13.399375,   255.000000,     0.000000,     0.000000,  1530.000000,6,0.907288,    11.023703,     3.320196,    35.000000,     0.000000,     0.000000,  1967.000000,368
1188,648.000000,715088.000000,434856.000000,972.000000,1103.530864,671.074074,1.500000,810.000000,18044.444444,7353.382716,6750.518519,0.000000,0.000000,0.144450,3.217932,1.311356,1.203845,0.000000,0.000000,4.673738,3.424868,0.400216,4.673738,1.850640,0.736939,8.000000,11.000000,2.000000,671,1104,2,660,1096,0,681,1112,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,2.905864,    85.080769,     9.223924,    85.000000,     0.000000,     0.000000,  1883.000000,203
1189,4568.000000,5117364.000000,3206212.000000,6852.000000,1120.263573,701.885289,1.500000,5710.000000,373663.891419,543502.658494,140466.112084,0.000000,0.000000,0.075336,4.929993,7.170788,1.853262,0.000000,0.000000,12.176117,32.828980,2.404519,12.176117,5.729658,1.339706,23.000000,18.000000,2.000000,702,1120,2,684,1097,0,720,1140,3,1.897986,   480.489262,    21.920065,   255.000000,     0.000000,     0.000000,  8670.000000,34,2.880692,    75.751692,     8.703545,    95.000000,     0.000000,     0.000000, 13159.000000,1486
1190,944.000000,1043780.000000,688020.000000,1416.000000,1105.699153,728.834746,1.500000,1180.000000,37434.220339,10582.559322,405.067797,0.000000,0.000000,0.127424,4.042402,1.142777,0.043742,0.000000,0.000000,5.312603,5.278368,0.588401,5.312603,2.297470,0.837962,9.000000,14.000000,2.000000,729,1106,2,715,1097,0,741,1111,3,4.322034,  1084.587595,    32.933078,   255.000000,     0.000000,     0.000000,  4080.000000,16,2.824153,    82.630763,     9.090146,    99.000000,     0.000000,     0.000000,  2666.000000,319
1191,1836.000000,2037928.000000,530572.000000,2754.000000,1109.982571,288.982571,1.500000,2295.000000,101863.442266,70439.442266,-42520.557734,0.000000,0.000000,0.102083,4.530938,3.133182,-1.891336,0.000000,0.000000,7.766203,11.401477,1.084027,7.766203,3.376607,1.027259,14.000000,17.000000,2.000000,289,1110,2,272,1098,0,306,1124,3,1.518519,   381.158785,    19.523288,   255.000000,     0.000000,     0.000000,  2788.000000,12,4.771242,   185.921483,    13.635303,   129.000000,     0.000000,     0.000000,  8760.000000,688
1192,652.000000,720500.000000,629980.000000,978.000000,1105.061350,966.226994,1.500000,815.000000,12546.404908,6181.546012,330.920245,0.000000,0.000000,0.144154,2.219163,1.093370,0.058532,0.000000,0.000000,3.456687,2.900455,0.349277,3.456687,1.703072,0.704244,7.000000,10.000000,2.000000,966,1105,2,956,1099,0,976,1112,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,1.067485,     9.666714,     3.109134,    43.000000,     0.000000,     0.000000,   696.000000,183
1193,3056.000000,3426428.000000,1881020.000000,4584.000000,1121.213351,615.517016,1.500000,3820.000000,191515.115183,218080.895288,69818.905759,0.000000,0.000000,0.086137,4.318490,4.917524,1.574352,0.000000,0.000000,9.322152,19.553261,1.615741,9.322152,4.421907,1.173430,21.000000,17.000000,2.000000,616,1121,2,599,1100,0,631,1138,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,2.826898,    66.243348,     8.139002,    87.000000,     0.000000,     0.000000,  8639.000000,940
