Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,DSXmol_mean,DSXmol_var,DSXmol_stdev,DSXmol_max,DSXmol_min,DSXmol_median,DSXmol_muc,DSXmol_notempty,celnumber
1634,4.000000,3062.000000,990.000000,0.000000,765.500000,247.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,248,766,0,247,765,0,248,766,0,3.500000,     1.666667,     1.290994,     5.000000,     2.000000,     3.000000,    14.000000,4,0
1635,9.000000,6897.000000,7717.000000,0.000000,766.333333,857.444444,0.000000,0.000000,10.222222,8.000000,6.666667,0.000000,0.000000,0.000000,0.546037,0.427333,0.356111,0.000000,0.000000,0.973370,0.106525,0.000000,0.973370,0.326381,-0.000000,2.000000,2.000000,0.000000,857,766,0,856,765,0,859,768,0,2.000000,     0.500000,     0.707107,     3.000000,     1.000000,     2.000000,    18.000000,9,764
1636,4.000000,3062.000000,3510.000000,0.000000,765.500000,877.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,878,766,0,877,765,0,878,766,0,3.500000,     0.333333,     0.577350,     4.000000,     3.000000,     3.000000,    14.000000,4,764
1637,8.000000,6135.000000,6743.000000,0.000000,766.875000,842.875000,0.000000,0.000000,4.875000,4.875000,-1.125000,0.000000,0.000000,0.000000,0.304688,0.304688,-0.070313,0.000000,0.000000,0.609375,0.087891,0.000000,0.609375,0.296464,-0.000000,1.000000,1.000000,0.000000,843,767,0,842,766,0,844,768,0,85.000000,   464.571429,    21.553919,   114.000000,    47.000000,    80.000000,   680.000000,8,775
1638,9.000000,6908.000000,9217.000000,0.000000,767.555556,1024.111111,0.000000,0.000000,4.888889,10.222222,-3.555556,0.000000,0.000000,0.000000,0.261148,0.546037,-0.189926,0.000000,0.000000,0.807185,0.106525,0.000000,0.807185,0.326381,-0.000000,2.000000,1.000000,0.000000,1024,768,0,1023,766,0,1025,769,0,7.777778,     7.944444,     2.818589,    11.000000,     4.000000,     8.000000,    70.000000,9,791
1639,7.000000,5383.000000,6524.000000,0.000000,769.000000,932.000000,0.000000,0.000000,4.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.298719,0.298719,0.149359,0.000000,0.000000,0.597438,0.066925,0.000000,0.597438,0.258698,-0.000000,1.000000,1.000000,0.000000,932,769,0,931,768,0,933,770,0,3.857143,     2.142857,     1.463850,     5.000000,     1.000000,     4.000000,    27.000000,7,781
1640,4.000000,3078.000000,1154.000000,0.000000,769.500000,288.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,289,770,0,288,769,0,289,770,0,14.750000,    17.583333,     4.193249,    19.000000,     9.000000,    15.000000,    59.000000,4,0
1641,2.000000,1541.000000,350.000000,0.000000,770.500000,175.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,1.000000,0.000000,0.000000,175,771,0,175,770,0,175,771,0,2.000000,     0.000000,     0.000000,     2.000000,     2.000000,     2.000000,     4.000000,2,0
1642,4.000000,3082.000000,3130.000000,0.000000,770.500000,782.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,783,771,0,782,770,0,783,771,0,3.750000,     6.916667,     2.629956,     6.000000,     1.000000,     2.000000,    15.000000,4,795
1643,18.000000,13892.000000,14633.000000,0.000000,771.777778,812.944444,0.000000,0.000000,28.944444,31.111111,13.777778,0.000000,0.000000,0.000000,0.613576,0.659506,0.292067,0.000000,0.000000,1.273082,0.319354,0.000000,1.273082,0.565114,-0.000000,2.000000,2.000000,0.000000,813,772,0,811,770,0,815,774,0,1.277778,     0.447712,     0.669113,     3.000000,     0.000000,     1.000000,    23.000000,17,786
1644,1.000000,771.000000,850.000000,0.000000,771.000000,850.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,850,771,0,850,771,0,850,771,0,5.428571,     0.000000,     0.000000,     4.000000,     4.000000,     4.000000,     4.000000,1,775
1645,26.000000,20131.000000,5923.000000,0.000000,774.269231,227.807692,0.000000,0.000000,120.038462,25.115385,3.346154,0.000000,0.000000,0.000000,1.558437,0.326068,0.043442,0.000000,0.000000,1.884506,0.506270,0.000000,1.884506,0.711526,-0.000000,2.000000,4.000000,0.000000,228,774,0,224,773,0,231,776,0,0.961538,     0.358462,     0.598717,     2.000000,     0.000000,     1.000000,    25.000000,21,802
1646,15.000000,11611.000000,4708.000000,0.000000,774.066667,313.866667,0.000000,0.000000,25.733333,12.933333,-1.866667,0.000000,0.000000,0.000000,0.695624,0.349614,-0.050460,0.000000,0.000000,1.045238,0.240654,0.000000,1.045238,0.490565,-0.000000,2.000000,2.000000,0.000000,314,774,0,312,773,0,316,776,0,4.066667,     4.780952,     2.186539,     8.000000,     1.000000,     4.000000,    61.000000,15,790
1647,9.000000,6966.000000,7599.000000,0.000000,774.000000,844.333333,0.000000,0.000000,8.000000,6.000000,3.000000,0.000000,0.000000,0.000000,0.427333,0.320500,0.160250,0.000000,0.000000,0.747833,0.111280,0.000000,0.747833,0.333587,-0.000000,1.000000,2.000000,0.000000,844,774,0,843,773,0,846,775,0,3.666667,     4.000000,     2.000000,     7.000000,     1.000000,     3.000000,    33.000000,9,775
