Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,nHH_mean,nHH_var,nHH_stdev,nHH_max,nHH_min,nHH_median,nHH_muc,nHH_notempty,cHH_mean,cHH_var,cHH_stdev,cHH_max,cHH_min,cHH_median,cHH_muc,cHH_notempty
862,2912.000000,2420984.000000,1409624.000000,4368.000000,831.381868,484.074175,1.500000,3640.000000,191719.978021,168983.362637,33677.516483,0.000000,0.000000,0.087534,4.610473,4.063704,0.809875,0.000000,0.000000,8.761712,18.838994,1.582598,8.761712,4.340391,1.165351,16.000000,18.000000,2.000000,484,831,2,466,815,0,501,847,3,13.923420,  3357.763628,    57.946213,   255.000000,     0.000000,     0.000000, 40545.000000,159,4.968406,   279.371038,    16.714396,   186.000000,     0.000000,     0.000000, 14468.000000,929
863,3344.000000,2787324.000000,1740892.000000,5016.000000,833.529904,520.601674,1.500000,4180.000000,322969.430621,200481.009569,-109686.167464,0.000000,0.000000,0.083590,6.458619,4.009143,-2.193462,0.000000,0.000000,10.551352,21.957254,1.762266,10.551352,4.685856,1.207880,18.000000,20.000000,2.000000,521,834,2,501,816,0,539,851,3,12.505980,  3033.532719,    55.077515,   255.000000,     0.000000,     0.000000, 41820.000000,164,6.552033,   350.276083,    18.715664,   174.000000,     0.000000,     0.000000, 21910.000000,1336
864,1708.000000,1419936.000000,1659768.000000,2562.000000,831.344262,971.761124,1.500000,2135.000000,63446.538641,77753.573770,-34731.540983,0.000000,0.000000,0.104571,3.107592,3.808347,-1.701140,0.000000,0.000000,7.020511,9.664124,0.934966,7.020511,3.108717,0.977834,15.000000,15.000000,2.000000,972,831,2,957,816,0,985,845,3,10.152224,  2487.205870,    49.871894,   255.000000,     0.000000,     0.000000, 17340.000000,68,7.115339,   485.390906,    22.031588,   201.000000,     0.000000,     0.000000, 12153.000000,725
865,1384.000000,1147412.000000,484328.000000,2076.000000,829.054913,349.947976,1.500000,1730.000000,34612.254335,47607.826589,-10812.046242,0.000000,0.000000,0.112166,2.244132,3.086717,-0.701013,0.000000,0.000000,5.443016,7.033527,0.721859,5.443016,2.652079,0.897051,12.000000,10.000000,2.000000,350,829,2,340,817,0,359,840,3,9.580924,  2353.041891,    48.508163,   255.000000,     0.000000,     0.000000, 13260.000000,52,3.678468,   125.975356,    11.223874,   103.000000,     0.000000,     0.000000,  5091.000000,475
866,748.000000,618800.000000,428536.000000,1122.000000,827.272727,572.909090,1.500000,935.000000,14789.818181,10388.363636,-3833.454545,0.000000,0.000000,0.137702,2.178181,1.529953,-0.564574,0.000000,0.000000,3.845838,3.524392,0.415004,3.845838,1.877336,0.745906,7.000000,9.000000,2.000000,573,827,2,564,820,0,582,834,3,7.500000,  1858.734939,    43.113048,   255.000000,     0.000000,     0.000000,  5610.000000,22,2.008021,    65.156562,     8.071961,    91.000000,     0.000000,     0.000000,  1502.000000,167
867,2572.000000,2154812.000000,1672604.000000,3858.000000,837.796267,650.312597,1.500000,3215.000000,157848.671850,154097.244167,-27812.199066,0.000000,0.000000,0.091233,4.479329,4.372873,-0.789236,0.000000,0.000000,8.943435,19.772260,1.730205,8.943435,4.446600,1.200510,18.000000,18.000000,2.000000,650,838,2,632,820,0,667,852,3,12.690513,  3076.227790,    55.463752,   255.000000,     0.000000,     0.000000, 32640.000000,128,4.899688,   179.842909,    13.410552,   120.000000,     0.000000,     0.000000, 12602.000000,955
868,5460.000000,4638564.000000,2483392.000000,8190.000000,849.553846,454.833699,1.500000,6825.000000,424484.999267,1231533.169230,-166693.107692,0.000000,0.000000,0.070987,4.415082,12.809217,-1.733780,0.000000,0.000000,17.295286,54.770458,3.801197,17.295286,7.400706,1.560654,29.000000,22.000000,2.000000,455,850,2,435,821,0,477,878,3,6.678571,  1658.736195,    40.727585,   255.000000,     0.000000,     0.000000, 36465.000000,143,4.710256,   266.628984,    16.328777,   181.000000,     0.000000,     0.000000, 25718.000000,1625
869,1960.000000,1640820.000000,1069660.000000,2940.000000,837.153061,545.744897,1.500000,2450.000000,95772.448979,135918.081632,-74099.469387,0.000000,0.000000,0.099882,3.904503,5.541182,-3.020927,0.000000,0.000000,9.545569,13.453026,1.249492,9.545569,3.667836,1.077071,15.000000,17.000000,2.000000,546,837,2,529,822,0,559,852,3,15.221938,  3651.750105,    60.429712,   255.000000,     0.000000,     0.000000, 29835.000000,117,5.889285,   255.677884,    15.989930,   186.000000,     0.000000,     0.000000, 11543.000000,732
870,1532.000000,1277652.000000,1145060.000000,2298.000000,833.976501,747.428198,1.500000,1915.000000,40887.101827,55483.154046,-4784.584856,0.000000,0.000000,0.108431,2.315126,3.141589,-0.270914,0.000000,0.000000,5.565147,7.791463,0.780685,5.565147,2.791319,0.920786,12.000000,11.000000,2.000000,747,834,2,738,822,0,758,846,3,6.990861,  1734.930027,    41.652491,   255.000000,     0.000000,     0.000000, 10710.000000,42,2.888381,    83.133842,     9.117776,   103.000000,     0.000000,     0.000000,  4425.000000,499
871,2624.000000,2205332.000000,1522344.000000,3936.000000,840.446646,580.161585,1.500000,3280.000000,262859.487804,183544.530487,-116573.378048,0.000000,0.000000,0.090626,7.262818,5.071343,-3.220927,0.000000,0.000000,12.424788,27.575676,2.397785,12.424788,5.251254,1.338453,17.000000,22.000000,2.000000,580,840,2,559,823,0,602,855,3,11.467225,  2793.709943,    52.855557,   255.000000,     0.000000,     0.000000, 30090.000000,118,5.761814,   259.931427,    16.122389,   148.000000,     0.000000,     0.000000, 15119.000000,1067
872,1228.000000,1027248.000000,826388.000000,1842.000000,836.521172,672.954397,1.500000,1535.000000,26677.446254,45242.449511,-15102.814332,0.000000,0.000000,0.116728,2.028677,3.440447,-1.148488,0.000000,0.000000,5.585854,6.298937,0.660746,5.585854,2.509768,0.870986,14.000000,11.000000,2.000000,673,837,2,662,823,0,683,849,3,7.890879,  1951.497455,    44.175756,   255.000000,     0.000000,     0.000000,  9690.000000,38,3.685667,   141.950014,    11.914277,   128.000000,     0.000000,     0.000000,  4526.000000,416
873,1616.000000,1353588.000000,1637800.000000,2424.000000,837.616336,1013.490099,1.500000,2020.000000,56459.841584,63206.128712,24379.861386,0.000000,0.000000,0.106519,2.977267,3.333015,1.285610,0.000000,0.000000,6.416802,8.942654,0.880968,6.416802,2.990427,0.958635,14.000000,14.000000,2.000000,1013,838,2,1002,824,0,1027,849,3,4.576113,  1146.677794,    33.862631,   255.000000,     0.000000,     0.000000,  7395.000000,29,2.639232,    96.930447,     9.845326,   190.000000,     0.000000,     0.000000,  4265.000000,488
874,4072.000000,3434448.000000,2489692.000000,6108.000000,843.430255,611.417485,1.500000,5090.000000,386334.275049,305974.192534,-29091.434184,0.000000,0.000000,0.078278,5.941364,4.705521,-0.447391,0.000000,0.000000,10.725164,28.590479,2.172772,10.725164,5.347006,1.295203,18.000000,22.000000,2.000000,611,843,2,592,825,0,633,860,3,7.389489,  1830.164645,    42.780423,   255.000000,     0.000000,     0.000000, 30090.000000,118,7.193025,   520.368037,    22.811576,   204.000000,     0.000000,     0.000000, 29290.000000,1540
875,2476.000000,2086056.000000,1964360.000000,3714.000000,842.510500,793.360258,1.500000,3095.000000,95762.649434,190138.726978,-22867.366720,0.000000,0.000000,0.092397,2.858875,5.676357,-0.682677,0.000000,0.000000,8.627630,16.550586,1.456363,8.627630,4.068241,1.133504,18.000000,16.000000,2.000000,793,843,2,780,825,0,809,859,3,14.212439,  3423.561315,    58.511206,   255.000000,     0.000000,     0.000000, 35190.000000,138,5.150646,   211.556690,    14.544988,   132.000000,     0.000000,     0.000000, 12753.000000,997
876,3224.000000,2710180.000000,2735764.000000,4836.000000,840.626550,848.562034,1.500000,4030.000000,298385.593052,161562.367245,-46119.310173,0.000000,0.000000,0.084614,6.264952,3.392189,-0.968328,0.000000,0.000000,9.741757,21.131384,1.718880,9.741757,4.596888,1.197885,16.000000,20.000000,2.000000,849,841,2,829,825,0,869,855,3,6.960297,  1726.965844,    41.556778,   255.000000,     0.000000,     0.000000, 22440.000000,88,5.643300,   285.945328,    16.909918,   187.000000,     0.000000,     0.000000, 18194.000000,1379
877,1984.000000,1665192.000000,1529432.000000,2976.000000,839.310483,770.883064,1.500000,2480.000000,61468.870967,122152.741935,2248.032258,0.000000,0.000000,0.099478,2.465658,4.899829,0.090173,0.000000,0.000000,7.464967,12.805886,1.201022,7.464967,3.578531,1.062960,18.000000,14.000000,2.000000,771,839,2,757,826,0,782,857,3,12.081653,  2936.335235,    54.187962,   255.000000,     0.000000,     0.000000, 23970.000000,94,6.353830,   261.280691,    16.164179,   142.000000,     0.000000,     0.000000, 12606.000000,975
878,2128.000000,1791928.000000,2222048.000000,3192.000000,842.071428,1044.195488,1.500000,2660.000000,101886.676691,102197.142857,41002.285714,0.000000,0.000000,0.097182,3.722390,3.733732,1.498002,0.000000,0.000000,7.553305,12.379000,1.132598,7.553305,3.518380,1.042378,18.000000,14.000000,2.000000,1044,842,2,1031,828,0,1058,860,3,1.917293,   485.461891,    22.033199,   255.000000,     0.000000,     0.000000,  4080.000000,16,3.712406,   121.075689,    11.003439,    94.000000,     0.000000,     0.000000,  7900.000000,643
879,780.000000,654448.000000,701880.000000,1170.000000,839.035897,899.846153,1.500000,975.000000,14797.538461,15450.994871,-8371.692307,0.000000,0.000000,0.135793,2.060930,2.151940,-1.165969,0.000000,0.000000,4.348664,3.647595,0.417634,4.348664,1.909867,0.747478,10.000000,9.000000,2.000000,900,839,2,891,829,0,908,848,3,1.961538,   496.981830,    22.293089,   255.000000,     0.000000,     0.000000,  1530.000000,6,5.911538,   253.621176,    15.925488,   140.000000,     0.000000,     0.000000,  4611.000000,338
880,1004.000000,842304.000000,991828.000000,1506.000000,838.948207,987.876494,1.500000,1255.000000,23484.685258,34833.306772,-17654.422310,0.000000,0.000000,0.124833,2.336001,3.464839,-1.756070,0.000000,0.000000,5.925674,5.734227,0.625428,5.925674,2.394624,0.855183,12.000000,12.000000,2.000000,988,839,2,977,829,0,1000,851,3,10.921314,  2668.317830,    51.655762,   255.000000,     0.000000,     0.000000, 10965.000000,43,3.442231,    98.318693,     9.915578,    89.000000,     0.000000,     0.000000,  3456.000000,357
881,3336.000000,2830404.000000,1070796.000000,5004.000000,848.442446,320.982014,1.500000,4170.000000,245714.920863,234398.949640,36542.546762,0.000000,0.000000,0.083656,4.929431,4.702414,0.733101,0.000000,0.000000,9.715502,23.448562,1.894223,9.715502,4.842371,1.237305,22.000000,18.000000,2.000000,321,848,2,303,833,0,339,870,3,9.554856,  2345.896240,    48.434453,   255.000000,     0.000000,     0.000000, 31875.000000,125,5.091726,   191.884837,    13.852250,   135.000000,     0.000000,     0.000000, 16986.000000,1413
882,3668.000000,3149632.000000,1080224.000000,5502.000000,858.678298,294.499454,1.500000,4585.000000,280532.998909,358024.392584,58489.356597,0.000000,0.000000,0.081052,4.959198,6.329074,1.033961,0.000000,0.000000,11.369325,31.233003,2.457357,11.369325,5.588649,1.349447,25.000000,23.000000,2.000000,294,859,2,276,834,0,317,875,3,6.604416,  1640.955279,    40.508706,   255.000000,     0.000000,     0.000000, 24225.000000,95,4.285441,   197.613346,    14.057501,   177.000000,     0.000000,     0.000000, 15719.000000,1282
883,468.000000,393988.000000,428232.000000,702.000000,841.854700,915.025641,1.500000,585.000000,5019.692307,4138.119658,-726.256410,0.000000,0.000000,0.161000,1.381494,1.138872,-0.199876,0.000000,0.000000,2.681368,1.939177,0.246878,2.681368,1.392543,0.627327,6.000000,7.000000,2.000000,915,842,2,908,836,0,922,848,3,14.166666,  3419.111349,    58.473167,   255.000000,     0.000000,     0.000000,  6630.000000,26,4.326923,   144.027796,    12.001158,    74.000000,     0.000000,     0.000000,  2025.000000,166
884,80.000000,67292.000000,84992.000000,120.000000,841.149999,1062.399999,1.500000,100.000000,75.199999,538.199999,115.199999,0.000000,0.000000,0.290099,0.218154,1.561314,0.334194,0.000000,0.000000,2.069568,0.745144,0.066410,2.069568,0.863217,0.404959,5.000000,2.000000,2.000000,1062,841,2,1061,836,0,1064,845,3,3.187500,   812.812499,    28.509866,   255.000000,     0.000000,     0.000000,   255.000000,1,3.662499,    96.226424,     9.809506,    44.000000,     0.000000,     0.000000,   293.000000,22
