Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,nHH_mean,nHH_var,nHH_stdev,nHH_max,nHH_min,nHH_median,nHH_muc,nHH_notempty,cHH_mean,cHH_var,cHH_stdev,cHH_max,cHH_min,cHH_median,cHH_muc,cHH_notempty
941,116.000000,103444.000000,125144.000000,174.000000,891.758621,1078.827586,1.500000,145.000000,328.551724,2981.241379,843.172414,0.000000,0.000000,0.256305,0.580755,5.269707,1.490410,0.000000,0.000000,6.106768,2.338592,0.215063,6.106768,1.529245,0.599131,10.000000,4.000000,2.000000,1079,892,2,1076,882,0,1083,899,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0.474138,     1.921064,     1.386025,     8.000000,     0.000000,     0.000000,    55.000000,20
942,2068.000000,1851944.000000,1269716.000000,3102.000000,895.524178,613.982592,1.500000,2585.000000,107443.373308,74387.791103,-19497.129594,0.000000,0.000000,0.098113,4.077985,2.823369,-0.740008,0.000000,0.000000,6.999466,11.643155,1.075911,6.999466,3.412207,1.024689,13.000000,17.000000,2.000000,614,896,2,597,883,0,629,908,3,0.184236,    35.683989,     5.973608,   240.000000,     0.000000,     0.000000,   381.000000,4,6.065280,   290.976385,    17.058030,   191.000000,     0.000000,     0.000000, 12543.000000,737
943,2224.000000,2001528.000000,849776.000000,3336.000000,899.967626,382.093525,1.500000,2780.000000,142972.546763,75069.669065,16534.733813,0.000000,0.000000,0.095763,4.925000,2.585938,0.569575,0.000000,0.000000,7.606702,13.130602,1.188548,7.606702,3.623617,1.059267,13.000000,16.000000,2.000000,382,900,2,366,887,0,398,911,3,0.073741,     7.470043,     2.733138,   127.000000,     0.000000,     0.000000,   164.000000,4,2.730665,    59.075874,     7.686083,    62.000000,     0.000000,     0.000000,  6073.000000,572
944,864.000000,775144.000000,551884.000000,1296.000000,897.157407,638.754630,1.500000,1080.000000,16495.981481,16218.592593,-5194.629630,0.000000,0.000000,0.131242,2.004594,1.970886,-0.631252,0.000000,0.000000,4.106722,4.074097,0.466216,4.106722,2.018439,0.775406,10.000000,10.000000,2.000000,639,897,2,630,887,0,649,906,3,0.260417,    55.057249,     7.420057,   218.000000,     0.000000,     0.000000,   225.000000,2,4.408565,   147.604608,    12.149264,   115.000000,     0.000000,     0.000000,  3809.000000,261
945,1712.000000,1537468.000000,1445468.000000,2568.000000,898.053738,844.315421,1.500000,2140.000000,76857.672897,56343.056075,9482.981308,0.000000,0.000000,0.104490,3.752744,2.751073,0.463027,0.000000,0.000000,6.608306,10.789261,1.056362,6.608306,3.284701,1.018445,14.000000,20.000000,2.000000,844,898,2,831,887,0,864,912,3,5.362150,  1339.377830,    36.597511,   255.000000,     0.000000,     0.000000,  9180.000000,36,7.933411,   504.945885,    22.471001,   160.000000,     0.000000,     1.000000, 13582.000000,924
946,1912.000000,1720600.000000,1347236.000000,2868.000000,899.895397,704.621339,1.500000,2390.000000,87529.849372,77491.079498,16840.267782,0.000000,0.000000,0.100712,3.688408,3.265386,0.709630,0.000000,0.000000,7.054506,12.240832,1.162266,7.054506,3.498690,1.051401,16.000000,17.000000,2.000000,705,900,2,688,889,0,720,916,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4.583159,   255.831909,    15.994746,   190.000000,     0.000000,     0.000000,  8763.000000,517
947,3384.000000,3092672.000000,3551216.000000,5076.000000,913.910165,1049.413712,1.500000,4230.000000,212244.803782,328228.690307,110945.768322,0.000000,0.000000,0.083259,4.177630,6.460549,2.183753,0.000000,0.000000,10.721438,23.106728,1.850107,10.721438,4.806946,1.227625,24.000000,16.000000,2.000000,1049,914,2,1035,890,0,1065,934,3,3.156028,   792.164238,    28.145412,   255.000000,     0.000000,     0.000000, 10680.000000,43,2.308511,    57.685461,     7.595095,    93.000000,     0.000000,     0.000000,  7812.000000,1049
948,4.000000,3564.000000,1032.000000,6.000000,891.000000,258.000000,1.500000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.787451,0.000000,0.000000,0.000000,0.000000,0.000000,0.787451,0.000000,0.000000,0.787451,0.000000,-0.000000,0.000000,0.000000,2.000000,258,891,2,258,891,0,258,891,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0.750000,     0.916667,     0.957427,     2.000000,     0.000000,     0.000000,     3.000000,2
949,2828.000000,2574468.000000,2647772.000000,4242.000000,910.349364,936.270156,1.500000,3535.000000,122661.601132,239690.828854,49981.086280,0.000000,0.000000,0.088393,3.067158,5.993477,1.249779,0.000000,0.000000,9.149028,17.621888,1.486855,9.149028,4.197843,1.141360,21.000000,17.000000,2.000000,936,910,2,923,892,0,953,931,3,3.516620,   884.684195,    29.743641,   255.000000,     0.000000,     0.000000,  9945.000000,39,4.236209,   187.556495,    13.695127,   171.000000,     0.000000,     0.000000, 11980.000000,1081
950,8.000000,7148.000000,2072.000000,12.000000,893.500000,259.000000,1.500000,10.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.625000,0.000000,0.125000,0.000000,0.000000,0.000000,0.750000,0.078125,0.000000,0.750000,0.279508,-0.000000,1.000000,0.000000,2.000000,259,894,2,259,893,0,259,894,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0.250000,     0.214286,     0.462910,     1.000000,     0.000000,     0.000000,     2.000000,2
951,592.000000,532128.000000,469680.000000,888.000000,898.864865,793.378378,1.500000,740.000000,9707.243243,6597.189189,-2141.729730,0.000000,0.000000,0.148868,1.952841,1.327181,-0.430860,0.000000,0.000000,3.428890,2.894425,0.358197,3.428890,1.701301,0.710189,7.000000,9.000000,2.000000,793,899,2,786,893,0,802,906,3,3.445946,   868.308410,    29.467073,   255.000000,     0.000000,     0.000000,  2040.000000,8,3.008446,    63.571841,     7.973195,    55.000000,     0.000000,     0.000000,  1781.000000,212
952,632.000000,568240.000000,615776.000000,948.000000,899.113924,974.329114,1.500000,790.000000,8979.544304,8119.797468,-2467.696203,0.000000,0.000000,0.145659,1.655636,1.497117,-0.454990,0.000000,0.000000,3.298412,2.730892,0.330889,3.298412,1.652541,0.691662,8.000000,9.000000,2.000000,974,899,2,967,893,0,983,907,3,2.373418,   585.004554,    24.186867,   255.000000,     0.000000,     0.000000,  1500.000000,7,3.938291,   116.159419,    10.777728,   118.000000,     0.000000,     0.000000,  2489.000000,278
953,1728.000000,1572768.000000,1578324.000000,2592.000000,910.166667,913.381944,1.500000,2160.000000,43999.916667,96152.000000,6690.000000,0.000000,0.000000,0.104167,2.121910,4.636960,0.322627,0.000000,0.000000,6.863036,10.439170,1.014075,6.863036,3.230970,1.004670,16.000000,13.000000,2.000000,913,910,2,903,894,0,926,924,3,6.640625,  1650.216461,    40.622856,   255.000000,     0.000000,     0.000000, 11475.000000,45,6.988426,   252.639125,    15.894626,   144.000000,     0.000000,     1.000000, 12076.000000,998
