Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,MS2mol_mean,MS2mol_var,MS2mol_stdev,MS2mol_max,MS2mol_min,MS2mol_median,MS2mol_muc,MS2mol_notempty,celnumber
1463,2.000000,1196.000000,1825.000000,0.000000,598.000000,912.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,1.000000,0.000000,913,598,0,912,598,0,913,598,0,2.500000,     0.500000,     0.707107,     3.000000,     2.000000,     2.000000,     5.000000,2,581
1464,4.000000,2398.000000,3210.000000,0.000000,599.500000,802.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,803,600,0,802,599,0,803,600,0,3.250000,     0.916667,     0.957427,     4.000000,     2.000000,     3.000000,    13.000000,4,585
1465,6.000000,3600.000000,4899.000000,0.000000,600.000000,816.500000,0.000000,0.000000,1.500000,4.000000,0.000000,0.000000,0.000000,0.000000,0.137580,0.366881,0.000000,0.000000,0.000000,0.504461,0.050476,0.000000,0.504461,0.224668,-0.000000,1.000000,1.000000,0.000000,817,600,0,816,599,0,817,601,0,89.666667,   500.666667,    22.375582,   119.000000,    61.000000,    80.000000,   538.000000,6,0
1466,10.000000,6007.000000,9542.000000,0.000000,600.700000,954.200000,0.000000,0.000000,5.600000,12.100000,-2.400000,0.000000,0.000000,0.000000,0.259929,0.561632,-0.111398,0.000000,0.000000,0.821561,0.133575,0.000000,0.821561,0.365479,-0.000000,2.000000,1.000000,0.000000,954,601,0,953,599,0,955,602,0,5.400000,     6.933333,     2.633122,    12.000000,     2.000000,     5.000000,    54.000000,10,586
1467,2.000000,1201.000000,246.000000,0.000000,600.500000,123.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,1.000000,0.000000,0.000000,123,601,0,123,600,0,123,601,0,9.000000,     2.000000,     1.414214,    10.000000,     8.000000,     8.000000,    18.000000,2,0
1468,23.000000,13843.000000,20713.000000,0.000000,601.869565,900.565217,0.000000,0.000000,57.652174,38.608696,3.695652,0.000000,0.000000,0.000000,0.881411,0.590266,0.056501,0.000000,0.000000,1.471678,0.517075,0.000000,1.471678,0.719079,-0.000000,2.000000,3.000000,0.000000,901,602,0,898,600,0,903,604,0,1.782609,     0.632411,     0.795243,     3.000000,     0.000000,     2.000000,    41.000000,20,0
1469,4.000000,2406.000000,654.000000,0.000000,601.500000,163.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,164,602,0,163,601,0,164,602,0,16.750000,    43.583333,     6.601767,    24.000000,     9.000000,    14.000000,    67.000000,4,576
1470,2.000000,1205.000000,442.000000,0.000000,602.500000,221.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,1.000000,0.000000,0.000000,221,603,0,221,602,0,221,603,0,9.000000,     0.000000,     0.000000,     9.000000,     9.000000,     9.000000,    18.000000,2,597
1471,4.000000,2410.000000,982.000000,0.000000,602.500000,245.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,246,603,0,245,602,0,246,603,0,8.250000,    20.250000,     4.500000,    12.000000,     3.000000,     6.000000,    33.000000,4,602
1472,15.000000,9074.000000,2554.000000,0.000000,604.933333,170.266667,0.000000,0.000000,14.933333,22.933333,2.266667,0.000000,0.000000,0.000000,0.403678,0.619934,0.061273,0.000000,0.000000,1.023612,0.246499,0.000000,1.023612,0.496487,-0.000000,2.000000,2.000000,0.000000,170,605,0,169,603,0,172,607,0,1.666667,     0.666667,     0.816497,     3.000000,     0.000000,     2.000000,    25.000000,14,605
1473,2.000000,1207.000000,466.000000,0.000000,603.500000,233.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,1.000000,0.000000,0.000000,233,604,0,233,603,0,233,604,0,2.000000,     2.000000,     1.414214,     3.000000,     1.000000,     1.000000,     4.000000,2,0
1474,7.000000,4233.000000,6727.000000,0.000000,604.714286,961.000000,0.000000,0.000000,4.000000,7.428571,4.000000,0.000000,0.000000,0.000000,0.298719,0.554764,0.298719,0.000000,0.000000,0.853482,0.076485,0.000000,0.853482,0.276560,-0.000000,2.000000,1.000000,0.000000,961,605,0,960,603,0,962,606,0,2.428571,     0.619048,     0.786796,     4.000000,     2.000000,     2.000000,    17.000000,7,586
1475,4.000000,2418.000000,558.000000,0.000000,604.500000,139.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,140,605,0,139,604,0,140,605,0,3.750000,     1.583333,     1.258306,     5.000000,     2.000000,     4.000000,    15.000000,4,0
